version_title,state,open_issues,closed_issues,created_at,due_on,closed_at,description
v1.0,closed,0,817,2015-02-06 20:27:16+00:00,,2015-08-07 02:29:29+00:00,description
v1.0-candidate,closed,0,89,2015-04-27 19:03:36+00:00,,2015-07-23 05:50:52+00:00,description
next-candidate,open,17,606,2016-01-16 17:58:20+00:00,,,description
v1.4,closed,0,1404,2016-05-19 18:50:19+00:00,,2019-08-26 17:23:33+00:00,description
v1.5,closed,0,1412,2016-08-16 21:47:28+00:00,,2019-08-26 17:22:47+00:00,
UX Backlog - Stack Ranked,closed,0,33,2016-08-22 20:06:54+00:00,,2017-09-01 19:56:20+00:00,Closed by @calebamiles after talking with @pwittrock please contact calebamiles (on Slack) with complaints
v1.4-nonblocking,closed,1,34,2016-09-08 00:59:53+00:00,,2016-10-08 14:39:49+00:00,
v1.4-flakes,closed,0,1,2016-09-08 01:54:14+00:00,,2016-10-08 14:40:02+00:00,
1.4-Federation,closed,0,2,2016-09-22 14:54:05+00:00,,2016-10-08 14:40:19+00:00,
1.6,closed,0,0,2017-01-19 21:27:19+00:00,,2017-02-13 23:33:36+00:00,DO NOT USE. Use `v1.6` milestone
v1.12,closed,0,442,2017-11-15 06:32:51+00:00,,2019-08-26 17:22:28+00:00,
v1.13,closed,0,462,2017-11-15 06:32:59+00:00,,2020-08-23 05:01:14+00:00,
v1.14,closed,0,610,2018-10-19 11:05:25+00:00,,2020-08-23 05:01:17+00:00,
v1.15,closed,0,463,2018-12-19 15:58:01+00:00,,2020-08-23 05:01:19+00:00,
v1.17,closed,0,1712,2019-01-21 20:12:05+00:00,,2023-08-10 15:31:52+00:00,
v1.18,closed,0,1901,2019-01-31 15:17:22+00:00,,2023-08-10 15:31:55+00:00,
v1.16,closed,0,1363,2019-01-31 15:17:37+00:00,,2023-08-10 15:31:57+00:00,
v1.19,closed,0,2187,2019-08-26 17:08:39+00:00,,2023-08-10 15:31:59+00:00,
v2.0,closed,0,1,2019-10-03 21:35:04+00:00,,2020-08-23 05:01:08+00:00,
v1.20,closed,0,1493,2020-04-14 15:16:42+00:00,,2023-08-10 15:32:12+00:00,
v1.21,closed,0,1783,2020-04-14 15:16:49+00:00,,2023-08-10 15:32:06+00:00,
v1.22,closed,0,1651,2020-04-24 21:29:11+00:00,,2023-08-10 15:32:08+00:00,
v1.20-phase-doc-cleanup,closed,0,0,2020-08-26 23:23:58+00:00,,2020-08-27 15:14:50+00:00,
v1.20-phase-bug,closed,0,0,2020-08-26 23:24:13+00:00,,2020-09-10 15:22:43+00:00,
v1.20-phase-failing-test,closed,0,0,2020-08-26 23:59:40+00:00,,2020-08-27 15:07:53+00:00,
v1.20-phase-feature,closed,0,0,2020-08-27 00:12:21+00:00,,2020-09-10 15:22:00+00:00,
v1.20-phase-bug-low-risk,closed,0,0,2020-08-27 20:57:58+00:00,,2020-09-01 21:28:05+00:00,
v1.23,closed,0,1386,2021-05-29 20:32:58+00:00,,2023-08-10 15:32:14+00:00,
v1.24,closed,0,1339,2021-05-29 20:33:07+00:00,,2024-03-07 16:59:42+00:00,
v1.25,closed,0,1132,2021-05-29 20:33:13+00:00,,2024-03-07 16:59:47+00:00,
v1.26,open,0,1166,2021-05-29 20:33:19+00:00,,,
v1.27,open,0,1429,2022-11-02 16:09:03+00:00,,,
v1.28,open,0,1259,2022-11-02 16:09:08+00:00,,,
v1.29,open,0,1087,2023-08-03 01:41:15+00:00,,,
v1.30,open,0,951,2023-08-28 17:42:40+00:00,,,
v1.31,open,3,1108,2024-03-05 20:38:43+00:00,,,
v1.32,open,4,1154,2024-03-07 17:00:16+00:00,,,
v1.33,open,5,953,2024-08-20 16:45:10+00:00,,,
v1.34,open,7,1038,2024-08-20 16:45:28+00:00,,,
v1.35,open,22,467,2025-07-22 18:38:44+00:00,,,
P1 Issue Fix-it,closed,0,12,2015-02-06 20:29:31+00:00,2015-02-12 08:00:00+00:00,2015-03-14 14:30:42+00:00,Issues we're targeting for a dedicated fix-it milestone.
Test Issue Fix-it,closed,0,19,2015-02-06 20:29:43+00:00,2015-02-19 08:00:00+00:00,2015-04-27 03:46:20+00:00,Issues we're targeting for a dedicated fix-it milestone.
Doc Fixit,closed,0,29,2015-02-06 20:30:30+00:00,2015-03-04 08:00:00+00:00,2015-04-27 03:43:43+00:00,Fix v1 doc issues.
High Pri Bug fix-it,closed,0,17,2015-03-10 22:46:28+00:00,2015-03-11 07:00:00+00:00,2015-04-27 04:24:18+00:00,
v1.1,closed,0,334,2015-07-22 19:17:12+00:00,2015-09-21 07:00:00+00:00,2016-02-08 17:58:55+00:00,"Release 1.1.

P1 features:
* 250+ nodes, at our published SLO
* kube-proxy perf. improvements (via IPTables)
* Docker 1.8.x
* Horizontal pod auto-scaling
* Job
* Ingress
* Schema validation in kubectl
* Experimental API and API groups
* Graceful pod termination
"
v1.2-candidate,closed,0,85,2015-08-29 03:54:34+00:00,2016-03-04 08:00:00+00:00,2016-03-04 15:08:10+00:00,Things to consider for next minor release.
v1.2,closed,0,1052,2015-08-29 03:54:16+00:00,2016-03-16 07:00:00+00:00,2016-06-13 20:32:18+00:00,https://github.com/kubernetes/kubernetes/wiki/Release-1.2
rktnetes-v1.0,closed,0,42,2016-04-05 19:02:11+00:00,2016-05-09 07:00:00+00:00,2016-06-13 20:32:07+00:00,
v1.3,closed,0,1275,2016-03-11 07:40:20+00:00,2016-06-24 07:00:00+00:00,2016-10-08 14:40:35+00:00,https://github.com/kubernetes/features/blob/master/release-1.3/release-1.3.md
pre-1.5-general,closed,0,26,2016-08-26 21:08:06+00:00,2016-09-05 07:00:00+00:00,2016-10-08 14:39:54+00:00,Milestone placeholder for items that didn't make it into 1.4 but should be merged before 1.5 is generally opened up
v1.6,closed,0,1693,2016-11-12 00:35:38+00:00,2017-03-22 07:00:00+00:00,2019-08-26 17:23:42+00:00,
v1.7,closed,0,1513,2017-01-19 17:41:27+00:00,2017-06-28 07:00:00+00:00,2019-08-26 17:22:37+00:00,
v1.8,closed,0,1061,2017-05-26 17:18:43+00:00,2017-09-27 07:00:00+00:00,2019-08-26 17:23:28+00:00,
v1.9,closed,0,632,2017-03-30 14:12:39+00:00,2017-12-13 08:00:00+00:00,2019-08-26 17:23:22+00:00,
v1.10,closed,0,641,2017-07-24 18:50:54+00:00,2018-03-26 07:00:00+00:00,2019-08-26 17:23:39+00:00,
v1.11,closed,0,676,2017-10-18 17:24:38+00:00,2018-06-26 07:00:00+00:00,2019-08-26 17:22:43+00:00,
